depth	# bases at depth	size of A	% of A at depth
607	3882	3137161264	0.0000012
608	3764	3137161264	0.0000012
609	3685	3137161264	0.0000012
610	3696	3137161264	0.0000012
611	3695	3137161264	0.0000012
612	3730	3137161264	0.0000012
613	3581	3137161264	0.0000011
614	3724	3137161264	0.0000012
615	3728	3137161264	0.0000012
616	3507	3137161264	0.0000011
617	3537	3137161264	0.0000011
618	3556	3137161264	0.0000011
619	3552	3137161264	0.0000011
620	3609	3137161264	0.0000012
621	3530	3137161264	0.0000011
622	3514	3137161264	0.0000011
623	3568	3137161264	0.0000011
624	3381	3137161264	0.0000011
625	3400	3137161264	0.0000011
626	3503	3137161264	0.0000011
627	3362	3137161264	0.0000011
628	3393	3137161264	0.0000011
629	3405	3137161264	0.0000011
630	3368	3137161264	0.0000011
631	3254	3137161264	0.0000010
632	3386	3137161264	0.0000011
633	3296	3137161264	0.0000011
634	3328	3137161264	0.0000011
635	3282	3137161264	0.0000010
636	3328	3137161264	0.0000011
637	3165	3137161264	0.0000010
638	3155	3137161264	0.0000010
639	3161	3137161264	0.0000010
640	3099	3137161264	0.0000010
641	2997	3137161264	0.0000010
642	3040	3137161264	0.0000010
643	3007	3137161264	0.0000010
644	3040	3137161264	0.0000010
645	3128	3137161264	0.0000010
646	2983	3137161264	0.0000010
647	2986	3137161264	0.0000010
648	3157	3137161264	0.0000010
649	3125	3137161264	0.0000010
650	2929	3137161264	0.0000009
651	2984	3137161264	0.0000010
652	2987	3137161264	0.0000010
653	2953	3137161264	0.0000009
654	2888	3137161264	0.0000009
655	2942	3137161264	0.0000009
656	3042	3137161264	0.0000010
657	2766	3137161264	0.0000009
658	2968	3137161264	0.0000009
659	2725	3137161264	0.0000009
660	2884	3137161264	0.0000009
661	2860	3137161264	0.0000009
662	2820	3137161264	0.0000009
663	2902	3137161264	0.0000009
664	2748	3137161264	0.0000009
665	2860	3137161264	0.0000009
666	2831	3137161264	0.0000009
667	2798	3137161264	0.0000009
668	2659	3137161264	0.0000008
669	2800	3137161264	0.0000009
670	2650	3137161264	0.0000008
671	2651	3137161264	0.0000008
672	2504	3137161264	0.0000008
673	2615	3137161264	0.0000008
674	2607	3137161264	0.0000008
675	2744	3137161264	0.0000009
676	2535	3137161264	0.0000008
677	2595	3137161264	0.0000008
678	2446	3137161264	0.0000008
679	2538	3137161264	0.0000008
680	2464	3137161264	0.0000008
681	2652	3137161264	0.0000008
682	2609	3137161264	0.0000008
683	2571	3137161264	0.0000008
684	2495	3137161264	0.0000008
685	2483	3137161264	0.0000008
686	2520	3137161264	0.0000008
